run_name,target_mode,states,max_counties,years,train_years,val_years,test_years,seq_len,loss_mode,feature_group,model,known_months,modality,rmse,mae,beats_lag1,beats_seasonal_last_year,runtime_seconds,status
ia30_seq6_seasonal_residual_blankfill,seasonal_residual,IA,10,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,6,raw_mse,all,ensemble_weighted,0,ndvi,3.2767034868264457,0.3928952241654485,False,False,143.40200781822205,completed
ia30_seq6_seasonal_residual_blankfill,seasonal_residual,IA,10,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,6,raw_mse,all,ensemble_weighted,0,weather,470.5591970797833,76.57870112991168,True,True,143.40200781822205,completed
ia30_seq6_seasonal_residual_blankfill,seasonal_residual,IA,10,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,6,raw_mse,all,ensemble_weighted,1,ag,4.936961917036554,1.4332502892785643,True,False,143.40200781822205,completed
ia30_seq6_seasonal_residual_blankfill,seasonal_residual,IA,10,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,6,raw_mse,all,ensemble_weighted,1,ndvi,3.412612502441024,0.3979683394692143,False,False,143.40200781822205,completed
ia30_seq6_seasonal_residual_blankfill,seasonal_residual,IA,10,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,6,raw_mse,all,ensemble_weighted,1,weather,496.6152291852862,81.02179100191728,True,True,143.40200781822205,completed
ia30_seq6_seasonal_residual_blankfill,seasonal_residual,IA,10,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,6,raw_mse,all,ensemble_weighted,3,ag,5.303717056942855,1.524327688805786,True,False,143.40200781822205,completed
ia30_seq6_seasonal_residual_blankfill,seasonal_residual,IA,10,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,6,raw_mse,all,ensemble_weighted,3,ndvi,3.765299112345332,0.4568623520629382,False,False,143.40200781822205,completed
ia30_seq6_seasonal_residual_blankfill,seasonal_residual,IA,10,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,6,raw_mse,all,ensemble_weighted,3,weather,541.3945156247855,87.24510109806721,True,True,143.40200781822205,completed
ia30_seq6_seasonal_residual_blankfill,seasonal_residual,IA,10,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,6,raw_mse,all,ensemble_weighted,6,ag,4.956679600615243,1.3811069770354734,True,False,143.40200781822205,completed
ia30_seq6_seasonal_residual_blankfill,seasonal_residual,IA,10,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,6,raw_mse,all,ensemble_weighted,6,ndvi,4.4398587817281285,0.554166592634337,True,False,143.40200781822205,completed
ia30_seq6_seasonal_residual_blankfill,seasonal_residual,IA,10,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,6,raw_mse,all,ensemble_weighted,6,weather,115.48914206860346,30.460342574140697,True,True,143.40200781822205,completed
ia30_seq6_seasonal_residual_blankfill,seasonal_residual,IA,10,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,6,raw_mse,all,ensemble_weighted,9,ag,5.697095541174789,1.541540976052099,True,False,143.40200781822205,completed
ia30_seq6_seasonal_residual_blankfill,seasonal_residual,IA,10,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,6,raw_mse,all,ensemble_weighted,9,ndvi,0.5027707755288092,0.1598127476832908,True,False,143.40200781822205,completed
ia30_seq6_seasonal_residual_blankfill,seasonal_residual,IA,10,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,6,raw_mse,all,ensemble_weighted,9,weather,95.67658640785884,26.33380494013573,True,False,143.40200781822205,completed
ia30_seq6_seasonal_residual_blankfill,seasonal_residual,IA,10,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,6,raw_mse,all,lstm,0,ag,6.467662808977891,2.0290815823946,True,False,143.40200781822205,completed
ia30_seq6_seasonal_residual_blankfill,seasonal_residual,IA,10,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,6,raw_mse,all,lstm,0,ndvi,3.6400396601666345,0.5495481650539052,False,False,143.40200781822205,completed
ia30_seq6_seasonal_residual_blankfill,seasonal_residual,IA,10,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,6,raw_mse,all,lstm,0,weather,448.2217742356989,77.20910480266505,True,True,143.40200781822205,completed
ia30_seq6_seasonal_residual_blankfill,seasonal_residual,IA,10,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,6,raw_mse,all,lstm,1,ag,6.312777546541024,1.9942462087542177,True,False,143.40200781822205,completed
ia30_seq6_seasonal_residual_blankfill,seasonal_residual,IA,10,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,6,raw_mse,all,lstm,1,ndvi,3.792271937089017,0.5714250262010598,False,False,143.40200781822205,completed
ia30_seq6_seasonal_residual_blankfill,seasonal_residual,IA,10,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,6,raw_mse,all,lstm,1,weather,476.2517380252909,80.90525075965608,True,True,143.40200781822205,completed
ia30_seq6_seasonal_residual_blankfill,seasonal_residual,IA,10,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,6,raw_mse,all,lstm,3,ag,6.77274592163822,2.092100655560514,True,False,143.40200781822205,completed
ia30_seq6_seasonal_residual_blankfill,seasonal_residual,IA,10,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,6,raw_mse,all,lstm,3,ndvi,4.114646617796666,0.6107979647113861,False,False,143.40200781822205,completed
ia30_seq6_seasonal_residual_blankfill,seasonal_residual,IA,10,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,6,raw_mse,all,lstm,3,weather,511.9998590945742,85.55818526661552,True,True,143.40200781822205,completed
ia30_seq6_seasonal_residual_blankfill,seasonal_residual,IA,10,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,6,raw_mse,all,lstm,6,ag,6.566571672111639,1.974818265635824,True,False,143.40200781822205,completed
ia30_seq6_seasonal_residual_blankfill,seasonal_residual,IA,10,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,6,raw_mse,all,lstm,6,ndvi,4.595563924280009,0.6697803163702635,True,False,143.40200781822205,completed
ia30_seq6_seasonal_residual_blankfill,seasonal_residual,IA,10,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,6,raw_mse,all,lstm,6,weather,121.48757549925004,33.588302132251364,True,True,143.40200781822205,completed
ia30_seq6_seasonal_residual_blankfill,seasonal_residual,IA,10,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,6,raw_mse,all,lstm,9,ag,8.952930799840688,2.853678729940697,True,False,143.40200781822205,completed
ia30_seq6_seasonal_residual_blankfill,seasonal_residual,IA,10,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,6,raw_mse,all,lstm,9,ndvi,0.9153371822287676,0.3015912759117782,True,False,143.40200781822205,completed
ia30_seq6_seasonal_residual_blankfill,seasonal_residual,IA,10,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,6,raw_mse,all,lstm,9,weather,103.36666289784527,29.66398033128844,True,False,143.40200781822205,completed
ia30_seq6_seasonal_residual_blankfill,seasonal_residual,IA,10,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,6,raw_mse,all,naive_lag1,0,ag,14.691387056416838,3.899433055557004,False,False,143.40200781822205,completed
ia30_seq6_seasonal_residual_blankfill,seasonal_residual,IA,10,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,6,raw_mse,all,naive_lag1,0,ndvi,3.0988209217058023,0.3259280277717927,False,True,143.40200781822205,completed
ia30_seq6_seasonal_residual_blankfill,seasonal_residual,IA,10,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,6,raw_mse,all,naive_lag1,0,weather,1145.2140376735135,240.22987796786916,False,False,143.40200781822205,completed
ia30_seq6_seasonal_residual_blankfill,seasonal_residual,IA,10,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,6,raw_mse,all,naive_lag1,1,ag,15.970441356434572,4.417287484552092,False,False,143.40200781822205,completed
ia30_seq6_seasonal_residual_blankfill,seasonal_residual,IA,10,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,6,raw_mse,all,naive_lag1,1,ndvi,3.244727770091115,0.393777184996688,False,True,143.40200781822205,completed
ia30_seq6_seasonal_residual_blankfill,seasonal_residual,IA,10,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,6,raw_mse,all,naive_lag1,1,weather,1231.2833137720145,273.3035471424116,False,False,143.40200781822205,completed
ia30_seq6_seasonal_residual_blankfill,seasonal_residual,IA,10,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,6,raw_mse,all,naive_lag1,3,ag,19.10487144422113,5.653924642862545,False,False,143.40200781822205,completed
ia30_seq6_seasonal_residual_blankfill,seasonal_residual,IA,10,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,6,raw_mse,all,naive_lag1,3,ndvi,3.5861191387501994,0.4887135614267331,False,True,143.40200781822205,completed
ia30_seq6_seasonal_residual_blankfill,seasonal_residual,IA,10,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,6,raw_mse,all,naive_lag1,3,weather,937.2599328646854,218.67385875001185,False,False,143.40200781822205,completed
ia30_seq6_seasonal_residual_blankfill,seasonal_residual,IA,10,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,6,raw_mse,all,naive_lag1,6,ag,14.705098624873068,4.462521394199009,False,False,143.40200781822205,completed
ia30_seq6_seasonal_residual_blankfill,seasonal_residual,IA,10,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,6,raw_mse,all,naive_lag1,6,ndvi,4.603283265360216,0.5971492318772814,False,False,143.40200781822205,completed
ia30_seq6_seasonal_residual_blankfill,seasonal_residual,IA,10,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,6,raw_mse,all,naive_lag1,6,weather,927.997897880946,220.8918552923644,False,False,143.40200781822205,completed
