run_name,states,max_counties,years,train_years,val_years,test_years,seq_len,epochs,batch_size,learning_rate,hidden_size,num_layers,dropout,loss_mode,feature_group,target_mode,split,model,modality,rmse,mae,r2,features_beating_naive,runtime_seconds,status
ia30_seq6_lstm_seasonal_residual_weather_only,IA,30.0,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,6.0,80.0,64.0,0.001,64.0,1.0,0.0,raw_mse,weather,seasonal_residual,val,seasonal_last_year,weather,169.78251828626233,42.44060897827149,,13.0,542.2755117416382,completed
ia30_seq6_lstm_seasonal_residual_weather_only,IA,30.0,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,6.0,80.0,64.0,0.001,64.0,1.0,0.0,raw_mse,weather,seasonal_residual,test,seasonal_last_year,weather,487.60776052581446,76.85034942626953,,15.0,542.2755117416382,completed
ia30_seq6_lstm_seasonal_residual_weather_only,IA,30.0,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,6.0,80.0,64.0,0.001,64.0,1.0,0.0,raw_mse,weather,seasonal_residual,val,lstm,weather,204.85693369092976,52.3607292175293,,13.0,542.2755117416382,completed
ia30_seq6_lstm_seasonal_residual_weather_only,IA,30.0,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,6.0,80.0,64.0,0.001,64.0,1.0,0.0,raw_mse,weather,seasonal_residual,test,lstm,weather,489.003418955328,81.31497192382812,,13.0,542.2755117416382,completed
ia30_seq6_seasonal_residual_blankfill,IA,10.0,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,6.0,80.0,64.0,0.001,64.0,1.0,0.0,raw_mse,all,seasonal_residual,val,naive_lag1,ag,8.220890361151772,2.291024684906006,,0.0,143.40200781822205,completed
ia30_seq6_seasonal_residual_blankfill,IA,10.0,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,6.0,80.0,64.0,0.001,64.0,1.0,0.0,raw_mse,all,seasonal_residual,val,naive_lag1,ndvi,2.220636452350884,0.2647083401679992,,0.0,143.40200781822205,completed
ia30_seq6_seasonal_residual_blankfill,IA,10.0,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,6.0,80.0,64.0,0.001,64.0,1.0,0.0,raw_mse,all,seasonal_residual,val,naive_lag1,weather,346.50639198649714,80.99848937988281,,0.0,143.40200781822205,completed
ia30_seq6_seasonal_residual_blankfill,IA,10.0,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,6.0,80.0,64.0,0.001,64.0,1.0,0.0,raw_mse,all,seasonal_residual,test,naive_lag1,ag,8.168210201626133,2.234904289245605,,0.0,143.40200781822205,completed
ia30_seq6_seasonal_residual_blankfill,IA,10.0,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,6.0,80.0,64.0,0.001,64.0,1.0,0.0,raw_mse,all,seasonal_residual,test,naive_lag1,ndvi,3.993470704247877,0.383785992860794,,0.0,143.40200781822205,completed
ia30_seq6_seasonal_residual_blankfill,IA,10.0,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,6.0,80.0,64.0,0.001,64.0,1.0,0.0,raw_mse,all,seasonal_residual,test,naive_lag1,weather,577.7335566677774,107.5191650390625,,0.0,143.40200781822205,completed
ia30_seq6_seasonal_residual_blankfill,IA,10.0,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,6.0,80.0,64.0,0.001,64.0,1.0,0.0,raw_mse,all,seasonal_residual,val,lstm,ag,7.585729311316764,2.392193555831909,,19.0,143.40200781822205,completed
ia30_seq6_seasonal_residual_blankfill,IA,10.0,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,6.0,80.0,64.0,0.001,64.0,1.0,0.0,raw_mse,all,seasonal_residual,val,lstm,ndvi,3.5864131171598226,0.5649129152297974,,19.0,143.40200781822205,completed
ia30_seq6_seasonal_residual_blankfill,IA,10.0,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,6.0,80.0,64.0,0.001,64.0,1.0,0.0,raw_mse,all,seasonal_residual,val,lstm,weather,200.09907702185936,48.14904022216797,,19.0,143.40200781822205,completed
ia30_seq6_seasonal_residual_blankfill,IA,10.0,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,6.0,80.0,64.0,0.001,64.0,1.0,0.0,raw_mse,all,seasonal_residual,test,lstm,ag,6.475939013169821,1.9630167484283447,,29.0,143.40200781822205,completed
ia30_seq6_seasonal_residual_blankfill,IA,10.0,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,6.0,80.0,64.0,0.001,64.0,1.0,0.0,raw_mse,all,seasonal_residual,test,lstm,ndvi,3.283151856520815,0.451764166355133,,29.0,143.40200781822205,completed
ia30_seq6_seasonal_residual_blankfill,IA,10.0,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,6.0,80.0,64.0,0.001,64.0,1.0,0.0,raw_mse,all,seasonal_residual,test,lstm,weather,461.48596606505816,77.92547607421875,,29.0,143.40200781822205,completed
ia30_seq6_seasonal_residual_blankfill,IA,10.0,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,6.0,80.0,64.0,0.001,64.0,1.0,0.0,raw_mse,all,seasonal_residual,val,tiny_mamba_ssm,ag,6.495522057018427,1.930872201919556,,18.0,143.40200781822205,completed
ia30_seq6_seasonal_residual_blankfill,IA,10.0,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,6.0,80.0,64.0,0.001,64.0,1.0,0.0,raw_mse,all,seasonal_residual,val,tiny_mamba_ssm,ndvi,3.5923038392477493,0.484539121389389,,18.0,143.40200781822205,completed
ia30_seq6_seasonal_residual_blankfill,IA,10.0,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,6.0,80.0,64.0,0.001,64.0,1.0,0.0,raw_mse,all,seasonal_residual,val,tiny_mamba_ssm,weather,176.4366476245794,46.461795806884766,,18.0,143.40200781822205,completed
ia30_seq6_seasonal_residual_blankfill,IA,10.0,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,6.0,80.0,64.0,0.001,64.0,1.0,0.0,raw_mse,all,seasonal_residual,test,tiny_mamba_ssm,ag,5.609853060016855,1.631991624832153,,32.0,143.40200781822205,completed
ia30_seq6_seasonal_residual_blankfill,IA,10.0,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,6.0,80.0,64.0,0.001,64.0,1.0,0.0,raw_mse,all,seasonal_residual,test,tiny_mamba_ssm,ndvi,3.2527757675232736,0.430298238992691,,32.0,143.40200781822205,completed
ia30_seq6_seasonal_residual_blankfill,IA,10.0,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,6.0,80.0,64.0,0.001,64.0,1.0,0.0,raw_mse,all,seasonal_residual,test,tiny_mamba_ssm,weather,517.7084121394977,83.10233306884766,,32.0,143.40200781822205,completed
ia_more_counties_seq12_bestsmall,IA,30.0,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,12.0,80.0,64.0,0.001,64.0,1.0,0.0,raw_mse,all,raw,val,naive_lag1,ag,8.220890361151772,2.291024684906006,,0.0,3.0812618732452393,completed
